,Gameday,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2849,0.323529411765,0.0,0.0,0.5,0.0,0.0,0.5,0.361111111111,0.30303030303,0.2,0.25,0.363636363636,0.428571428571,0.25,0.357142857143,0.333333333333,0.142857142857,0.0,0.0
2850,0.323529411765,0.222222222222,0.0,0.0,0.0,0.0,0.5,0.5,0.515151515152,0.15,0.3125,0.636363636364,0.514285714286,0.35,0.357142857143,0.5,0.285714285714,0.0,0.0
2851,0.323529411765,0.111111111111,0.125,0.5,0.0,0.2,1.0,0.5,0.212121212121,0.15,0.125,0.515151515152,0.514285714286,0.15,0.214285714286,0.166666666667,0.285714285714,0.0,0.0
2852,0.352941176471,0.111111111111,0.125,0.5,0.0,0.2,1.0,0.416666666667,0.242424242424,0.15,0.1875,0.424242424242,0.514285714286,0.15,0.142857142857,0.666666666667,0.285714285714,0.0,0.0
2853,0.352941176471,0.333333333333,0.25,0.0,0.4,0.2,0.0,0.388888888889,0.272727272727,0.35,0.1875,0.30303030303,0.457142857143,0.25,0.214285714286,0.5,0.571428571429,0.0,0.0
2854,0.352941176471,0.444444444444,0.0,0.0,0.8,0.0,0.0,0.916666666667,0.151515151515,0.7,0.125,0.242424242424,0.428571428571,0.35,0.214285714286,0.0,0.0,0.0,0.0
2855,0.352941176471,0.222222222222,0.0,0.0,0.2,0.0,0.0,0.333333333333,0.242424242424,0.25,0.0,0.727272727273,0.628571428571,0.2,0.214285714286,0.333333333333,0.428571428571,0.0,0.333333333333
2856,0.352941176471,0.0,0.0,0.5,0.0,0.0,0.5,0.222222222222,0.515151515152,0.1,0.5625,0.333333333333,0.371428571429,0.05,0.214285714286,0.166666666667,0.428571428571,0.0,0.0
2857,0.352941176471,0.111111111111,0.375,1.0,0.0,0.2,1.0,0.194444444444,0.363636363636,0.1,0.25,0.575757575758,0.257142857143,0.1,0.142857142857,0.333333333333,0.428571428571,0.0,0.0
2858,0.352941176471,0.111111111111,0.25,1.0,0.0,0.0,0.5,0.5,0.454545454545,0.3,0.25,0.393939393939,0.571428571429,0.35,0.285714285714,0.166666666667,0.571428571429,0.0,0.0
2859,0.352941176471,0.111111111111,0.25,1.0,0.2,0.2,0.5,0.333333333333,0.515151515152,0.2,0.5,0.545454545455,0.342857142857,0.3,0.642857142857,0.166666666667,0.285714285714,0.5,0.0
2860,0.352941176471,0.0,0.0,0.5,0.0,0.0,0.5,0.305555555556,0.424242424242,0.25,0.125,0.515151515152,0.485714285714,0.2,0.214285714286,0.166666666667,0.857142857143,0.5,0.0
2861,0.382352941176,0.111111111111,0.375,1.0,0.2,0.2,0.5,0.138888888889,0.727272727273,0.05,0.5,0.363636363636,0.285714285714,0.2,0.428571428571,0.333333333333,0.0,0.0,0.0
2862,0.382352941176,0.111111111111,0.375,1.0,0.2,0.4,1.0,0.25,0.515151515152,0.05,0.6875,0.454545454545,0.542857142857,0.15,0.571428571429,0.333333333333,0.142857142857,0.0,0.0
2863,0.382352941176,0.0,0.0,0.5,0.0,0.0,0.5,0.388888888889,0.212121212121,0.15,0.0625,0.424242424242,0.314285714286,0.3,0.0714285714286,0.166666666667,0.142857142857,0.0,0.0
