Season,Gameday,KID,GradeAvg
2005,23,81,4.13636363636
2005,23,14,2.68181818182
2005,23,32,4.40909090909
2005,23,24,3.5
2005,23,58,3.54545454545
2005,23,1,3.31818181818
2005,23,29,4.13636363636
2005,23,12,4.86363636364
2005,23,11,3.22727272727
2005,24,29,4.27272727273
2005,24,16,2.95454545455
2005,24,81,2.45454545455
2005,24,1,4.86363636364
2005,24,58,3.90909090909
2005,24,2,3.68181818182
2005,24,14,4.27272727273
2005,24,12,2.72727272727
2005,24,9,2.95454545455
2005,24,4,3.54545454545
2005,24,17,4.13636363636
2005,24,30,4.04545454545
2005,24,32,3.18181818182
2005,24,24,3.77272727273
2005,24,15,3.18181818182
2005,24,10,3.90909090909
2005,24,37,3.18181818182
2005,24,11,3.22727272727
2005,25,10,3.18181818182
2005,25,9,4.59090909091
2005,25,30,3.22727272727
2005,25,15,4.36363636364
2005,25,11,3.5
2005,25,17,3.54545454545
2005,25,4,4.90909090909
2005,25,29,2.72727272727
2005,25,16,4.31818181818
2005,25,81,3.68181818182
2005,25,24,3.90909090909
2005,25,14,3.72727272727
2005,25,1,3.90909090909
2005,25,58,3.86363636364
2005,25,2,3.09090909091
2005,25,32,4.09090909091
2005,25,12,3.27272727273
2005,25,37,4.09090909091
2005,26,58,3.22727272727
2005,26,16,4.68181818182
2005,26,32,3.04545454545
2005,26,1,5.0
2005,26,24,4.04545454545
2005,26,12,3.59090909091
2005,26,17,3.04545454545
2005,26,37,4.5
2005,26,81,2.63636363636
2005,26,4,4.5
2005,26,15,3.77272727273
2005,26,11,3.72727272727
2005,26,9,4.68181818182
2005,26,30,2.86363636364
2005,26,14,3.5
2005,26,2,4.31818181818
2005,26,29,3.63636363636
2005,26,10,4.22727272727
2005,27,11,3.95454545455
2005,27,9,2.81818181818
2005,27,12,3.81818181818
2005,27,17,3.0
2005,27,30,3.40909090909
2005,27,29,3.40909090909
2005,27,2,4.04545454545
2005,27,24,3.5
2005,27,1,3.95454545455
2005,27,14,3.22727272727
2005,27,16,4.45454545455
2005,27,32,3.90909090909
2005,27,4,3.31818181818
2005,27,58,4.13636363636
2005,27,37,3.13636363636
2005,27,15,4.40909090909
2005,27,10,3.72727272727
2005,27,81,3.68181818182
2005,28,14,3.95454545455
2005,28,16,3.36363636364
2005,28,24,4.68181818182
2005,28,1,4.36363636364
2005,28,15,2.95454545455
2005,28,17,3.90909090909
2005,28,9,2.18181818182
2005,28,37,4.77272727273
2005,28,32,3.5
2005,28,4,3.59090909091
2005,28,29,2.81818181818
2005,28,11,4.5
2005,28,81,2.63636363636
2005,28,30,4.18181818182
2005,28,2,3.68181818182
2005,28,12,3.22727272727
2005,28,58,4.22727272727
2005,28,10,3.68181818182
2005,29,17,4.09090909091
2005,29,9,2.63636363636
2005,29,37,4.95454545455
2005,29,29,3.18181818182
2005,29,16,3.81818181818
2005,29,24,4.72727272727
2005,29,11,3.77272727273
2005,29,81,3.77272727273
2005,29,4,2.90909090909
2005,29,14,3.90909090909
2005,29,10,3.63636363636
2005,29,32,4.09090909091
2005,29,30,4.18181818182
2005,29,58,3.77272727273
2005,29,12,3.63636363636
2005,29,15,4.04545454545
2005,29,1,3.31818181818
2005,29,2,4.63636363636
2005,30,2,4.59090909091
2005,30,16,3.59090909091
2005,30,9,3.31818181818
2005,30,15,3.59090909091
2005,30,29,3.5
2005,30,17,3.63636363636
2005,30,1,4.0
2005,30,12,3.59090909091
2005,30,24,3.77272727273
2005,30,4,3.68181818182
2005,30,32,3.63636363636
2005,30,30,3.90909090909
2005,30,14,3.31818181818
2005,30,10,3.77272727273
2005,30,81,3.72727272727
2005,30,37,3.72727272727
2005,30,58,3.40909090909
2005,30,11,3.54545454545
2005,31,12,3.59090909091
2005,31,9,2.90909090909
2005,31,16,3.22727272727
2005,31,1,4.54545454545
2005,31,15,3.90909090909
2005,31,29,3.72727272727
2005,31,10,4.04545454545
