Season,Gameday,TID_H,TID_A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
2006,16,6,17,1.0,0.0,H,0.0,0.0,D,18.0,13.0,7.0,8.0,15.0,16.0,9.0,5.0,0.0,2.0,0.0,0.0,1.44,4.0,7.5
2006,17,3,0,0.0,4.0,A,0.0,2.0,A,9.0,22.0,5.0,13.0,8.0,15.0,4.0,3.0,0.0,0.0,0.0,0.0,6.5,4.2,1.44
2006,17,10,1,3.0,3.0,D,0.0,1.0,A,16.0,27.0,12.0,14.0,21.0,18.0,8.0,10.0,3.0,2.0,0.0,0.0,2.5,3.25,2.7
2006,17,12,2,1.0,2.0,A,0.0,1.0,A,17.0,10.0,10.0,7.0,11.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,2.3,3.25,3.0
2006,17,17,4,2.0,0.0,H,1.0,0.0,H,22.0,10.0,11.0,7.0,14.0,25.0,3.0,6.0,0.0,1.0,0.0,0.0,2.2,3.2,3.25
2006,17,16,5,0.0,1.0,A,0.0,0.0,D,9.0,9.0,5.0,4.0,16.0,16.0,7.0,2.0,1.0,1.0,0.0,0.0,3.4,3.25,2.1
2006,17,11,6,0.0,0.0,D,0.0,0.0,D,8.0,12.0,2.0,9.0,30.0,32.0,3.0,9.0,1.0,4.0,0.0,0.0,3.4,3.25,2.1
2006,17,9,7,3.0,1.0,H,1.0,1.0,D,13.0,8.0,9.0,4.0,18.0,24.0,3.0,5.0,3.0,3.0,0.0,1.0,2.0,3.3,3.6
2006,17,15,8,2.0,1.0,H,1.0,1.0,D,19.0,11.0,15.0,7.0,9.0,26.0,9.0,2.0,0.0,5.0,0.0,0.0,1.3,5.0,9.0
2006,17,14,13,1.0,0.0,H,0.0,0.0,D,16.0,15.0,14.0,5.0,23.0,16.0,4.0,3.0,3.0,0.0,0.0,0.0,1.61,3.6,5.5
2006,18,12,0,3.0,2.0,H,1.0,2.0,A,12.0,14.0,10.0,6.0,18.0,19.0,4.0,5.0,2.0,2.0,0.0,0.0,3.75,3.2,2.0
