,Season,Gameday,KID,GradeAvg
102,2005,6,37,4.77272727273
103,2005,6,30,3.90909090909
104,2005,6,81,3.27272727273
105,2005,6,2,3.68181818182
106,2005,6,11,3.63636363636
107,2005,6,12,3.68181818182
108,2005,7,1,3.5
109,2005,7,81,4.22727272727
110,2005,7,2,2.77272727273
111,2005,7,58,4.59090909091
112,2005,7,12,2.54545454545
113,2005,7,14,4.36363636364
114,2005,7,24,3.95454545455
115,2005,7,32,4.22727272727
116,2005,7,4,3.04545454545
117,2005,7,9,3.5
118,2005,7,30,3.09090909091
119,2005,7,17,3.86363636364
120,2005,7,10,4.5
121,2005,7,15,2.95454545455
122,2005,7,16,3.77272727273
123,2005,7,29,2.77272727273
124,2005,7,11,3.68181818182
125,2005,7,37,3.81818181818
126,2005,8,9,4.22727272727
127,2005,8,10,3.5
128,2005,8,15,3.31818181818
129,2005,8,30,3.45454545455
130,2005,8,29,3.13636363636
131,2005,8,4,2.95454545455
132,2005,8,81,2.63636363636
133,2005,8,16,4.31818181818
134,2005,8,14,3.40909090909
135,2005,8,24,3.72727272727
136,2005,8,32,3.45454545455
137,2005,8,2,3.54545454545
138,2005,8,58,3.95454545455
139,2005,8,1,3.95454545455
140,2005,8,17,3.45454545455
141,2005,8,11,3.59090909091
142,2005,8,37,4.68181818182
143,2005,8,12,2.68181818182
144,2005,9,2,3.77272727273
145,2005,9,14,3.04545454545
146,2005,9,12,3.95454545455
147,2005,9,24,2.86363636364
148,2005,9,37,4.04545454545
149,2005,9,17,3.86363636364
150,2005,9,4,2.81818181818
151,2005,9,81,4.40909090909
152,2005,9,11,3.90909090909
153,2005,9,15,2.95454545455
154,2005,9,30,3.04545454545
155,2005,9,9,4.5
156,2005,9,10,2.59090909091
157,2005,9,29,4.22727272727
158,2005,9,16,4.5
159,2005,9,58,2.81818181818
160,2005,9,1,4.22727272727
161,2005,9,32,3.13636363636
162,2005,10,15,3.09090909091
163,2005,10,37,4.5
164,2005,10,29,3.13636363636
165,2005,10,30,3.63636363636
166,2005,10,24,3.68181818182
167,2005,10,2,3.40909090909
168,2005,10,81,3.90909090909
169,2005,10,10,3.40909090909
170,2005,10,14,2.81818181818
171,2005,10,1,5.0
172,2005,10,32,2.63636363636
173,2005,10,16,5.04545454545
174,2005,10,58,3.54545454545
175,2005,10,4,3.68181818182
176,2005,10,9,3.86363636364
177,2005,10,11,3.63636363636
178,2005,10,17,3.54545454545
179,2005,10,12,3.63636363636
180,2005,11,16,3.86363636364
181,2005,11,14,3.31818181818
182,2005,11,1,2.90909090909
183,2005,11,24,4.36363636364
184,2005,11,17,3.27272727273
185,2005,11,15,4.04545454545
186,2005,11,12,3.40909090909
187,2005,11,2,4.40909090909
188,2005,11,37,4.09090909091
189,2005,11,9,4.0
190,2005,11,4,2.72727272727
191,2005,11,32,4.13636363636
192,2005,11,11,3.68181818182
193,2005,11,29,3.59090909091
194,2005,11,30,2.86363636364
195,2005,11,81,4.13636363636
196,2005,11,10,2.63636363636
197,2005,11,58,4.40909090909
198,2005,12,9,3.18181818182
199,2005,12,17,4.0
200,2005,12,2,3.0
201,2005,12,1,4.31818181818
