,Season,Gameday,Link,TID_H,TID_A,TName_H,TName_A,FTGD,HTGD,FTHG,HTHG,HGA,AGA,Odds,Attendance,ChancesA,ChancesH,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HP3,AP3,Interval_W,Interval_L,Interval_D
32,2006,4,32,13,2, Ein Frankfurt, Leverkusen,2.0,0.0,3.0,0.0,0.6,0.454545454546,0.502278209595,0.854368932039,7,5,16.0,19.0,8.0,12.0,19.0,22.0,4.0,6.0,3.0,4.0,0.0,0.0,0.333,0.444,0.222222222222,0.0333333333333,0.744444444444
33,2006,4,31,14,5, Hertha, Schalke 04,2.0,1.0,2.0,1.0,0.6,0.327272727272,0.570512820513,0.815777418486,5,5,10.0,14.0,5.0,8.0,19.0,17.0,5.0,8.0,1.0,3.0,0.0,0.0,0.556,0.778,0.566666666667,0.0,0.433333333333
34,2006,4,33,15,6, Werder Bremen, Stuttgart,-1.0,1.0,2.0,2.0,0.363636363636,0.554545454546,0.779799818016,0.933035294118,7,7,17.0,21.0,9.0,12.0,12.0,21.0,8.0,5.0,2.0,3.0,0.0,0.0,0.667,0.333,0.0333333333333,0.6,0.366666666667
35,2006,4,27,16,0, Bielefeld, Bayern Munich,1.0,0.0,2.0,1.0,0.6,0.381818181818,0.313397129187,1.0,6,7,11.0,15.0,6.0,9.0,25.0,12.0,2.0,11.0,3.0,1.0,0.0,0.0,0.111,0.778,0.0666666666667,0.211111111111,0.722222222222
36,2006,5,38,0,10, Bayern Munich, Aachen,1.0,0.0,2.0,1.0,0.554545454546,0.427272727272,0.910581222057,1.0,3,7,21.0,6.0,13.0,5.0,11.0,23.0,9.0,4.0,2.0,3.0,0.0,0.0,0.444,0.667,0.388888888889,0.0111111111111,0.6
37,2006,5,37,1,15, Hamburg, Werder Bremen,0.0,0.0,1.0,0.0,0.372727272728,0.4,0.538461538462,1.0,6,5,10.0,14.0,4.0,7.0,22.0,25.0,3.0,7.0,2.0,3.0,1.0,0.0,0.222,0.333,0.0,0.0,1.0
38,2006,5,41,3,14, Mainz, Hertha,0.0,0.0,1.0,0.0,0.518181818182,0.472727272728,0.57819092827,1.0,3,5,17.0,12.0,11.0,9.0,17.0,16.0,3.0,3.0,1.0,1.0,0.0,0.0,0.222,0.778,0.0,0.0,1.0
39,2006,5,39,4,12, M'gladbach, Dortmund,1.0,1.0,1.0,1.0,0.527272727272,0.445454545454,0.575787082116,0.990086374313,3,4,9.0,8.0,5.0,3.0,22.0,26.0,5.0,8.0,2.0,3.0,0.0,0.0,0.333,0.778,0.566666666667,0.0,0.433333333333
40,2006,5,40,5,8, Schalke 04, Wolfsburg,2.0,0.0,2.0,0.0,0.463636363636,0.363636363636,0.829759155394,0.982466412934,4,6,23.0,10.0,12.0,5.0,12.0,25.0,7.0,4.0,3.0,2.0,0.0,0.0,0.667,0.222,0.366666666667,0.0,0.633333333333
41,2006,5,36,6,13, Stuttgart, Ein Frankfurt,0.0,0.0,1.0,0.0,0.527272727272,0.49090909091,0.697963238947,0.725663716814,2,8,21.0,12.0,10.0,5.0,17.0,11.0,8.0,7.0,0.0,1.0,0.0,0.0,0.667,0.556,0.0,0.0,1.0
42,2006,5,42,7,2, Hannover, Leverkusen,0.0,-1.0,1.0,0.0,0.40909090909,0.472727272728,0.553846153846,0.635816326531,7,5,16.0,12.0,8.0,6.0,20.0,15.0,12.0,3.0,2.0,0.0,0.0,0.0,0.333,0.111,0.0,0.0,1.0
43,2006,5,43,11,9, Cottbus, Nurnberg,0.0,-1.0,1.0,0.0,0.4,0.572727272728,0.570512820513,0.752783964365,6,2,12.0,18.0,5.0,12.0,23.0,19.0,6.0,5.0,2.0,2.0,0.0,0.0,0.778,0.556,0.0,0.0,1.0
44,2006,5,44,17,16, Bochum, Bielefeld,1.0,-1.0,2.0,0.0,0.40909090909,0.436363636364,0.630036630037,0.648557201226,6,10,13.0,17.0,7.0,12.0,21.0,18.0,2.0,5.0,2.0,1.0,0.0,0.0,0.111,0.333,0.188888888889,0.522222222222,0.288888888889
45,2006,6,53,2,5, Leverkusen, Schalke 04,2.0,0.0,3.0,1.0,0.636363636364,0.29090909091,0.572916666667,1.0,4,10,21.0,12.0,12.0,6.0,27.0,25.0,5.0,10.0,4.0,1.0,0.0,0.0,0.222,0.667,0.477777777778,0.244444444444,0.277777777778
46,2006,6,48,8,0, Wolfsburg, Bayern Munich,1.0,1.0,1.0,1.0,0.572727272728,0.372727272728,0.320707070707,1.0,5,4,7.0,17.0,1.0,10.0,18.0,12.0,2.0,7.0,2.0,1.0,0.0,0.0,0.111,0.444,0.6,0.0,0.4
47,2006,6,52,9,3, Nurnberg, Mainz,0.0,1.0,1.0,1.0,0.463636363636,0.49090909091,0.749468462084,0.808595744681,4,6,11.0,11.0,5.0,7.0,19.0,18.0,4.0,3.0,2.0,1.0,1.0,0.0,0.333,0.222,0.0,0.0,1.0
48,2006,6,46,10,17, Aachen, Bochum,1.0,-1.0,2.0,0.0,0.418181818182,0.49090909091,0.669070512821,0.953051643192,9,3,12.0,21.0,8.0,11.0,21.0,14.0,2.0,6.0,3.0,2.0,0.0,0.0,0.667,0.444,0.455555555556,0.133333333333,0.411111111111
49,2006,6,47,12,7, Dortmund, Hannover,0.0,1.0,2.0,1.0,0.436363636364,0.481818181818,0.760006901311,0.816049382716,4,5,13.0,17.0,9.0,8.0,20.0,15.0,3.0,4.0,2.0,2.0,0.0,0.0,0.667,0.444,0.0,0.0,1.0
50,2006,6,50,13,1, Ein Frankfurt, Hamburg,0.0,1.0,2.0,1.0,0.5,0.427272727272,0.55625,1.0,6,7,14.0,9.0,8.0,8.0,21.0,20.0,4.0,1.0,0.0,3.0,0.0,0.0,0.556,0.222,0.0,0.0,1.0
51,2006,6,49,14,6, Hertha, Stuttgart,0.0,1.0,2.0,2.0,0.454545454546,0.527272727272,0.610795454545,0.655308542172,6,5,17.0,18.0,11.0,9.0,21.0,22.0,6.0,2.0,2.0,3.0,0.0,0.0,0.556,0.444,0.0,0.0,1.0
52,2006,6,51,15,4, Werder Bremen, M'gladbach,3.0,3.0,3.0,3.0,0.7,0.236363636364,0.829759155394,0.968917647059,4,10,12.0,7.0,6.0,4.0,18.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0,0.111,0.667,0.633333333333,0.0,0.366666666667
53,2006,6,45,16,11, Bielefeld, Cottbus,2.0,-1.0,3.0,0.0,0.472727272728,0.427272727272,0.65625,0.65948648547,8,6,10.0,11.0,5.0,8.0,16.0,27.0,2.0,4.0,2.0,2.0,0.0,0.0,0.333,0.778,0.311111111111,0.288888888889,0.4
54,2006,7,56,0,14, Bayern Munich, Hertha,2.0,2.0,4.0,2.0,0.672727272728,0.318181818182,0.819444444444,1.0,4,10,16.0,12.0,10.0,5.0,7.0,15.0,4.0,5.0,1.0,3.0,0.0,0.0,0.333,0.556,0.9,0.0,0.1
55,2006,7,55,1,5, Hamburg, Schalke 04,-1.0,0.0,1.0,1.0,0.336363636364,0.518181818182,0.596072931276,1.0,6,4,9.0,10.0,8.0,7.0,32.0,27.0,8.0,2.0,2.0,2.0,1.0,0.0,0.222,0.333,0.566666666667,0.0,0.433333333333
56,2006,7,58,3,10, Mainz, Aachen,-2.0,-1.0,1.0,1.0,0.40909090909,0.572727272728,0.641651031895,1.0,5,6,23.0,10.0,10.0,6.0,7.0,13.0,7.0,4.0,2.0,5.0,0.0,0.0,0.222,0.667,0.577777777778,0.0444444444444,0.377777777778
57,2006,7,57,4,8, M'gladbach, Wolfsburg,2.0,1.0,3.0,2.0,0.563636363636,0.363636363636,0.697963238947,0.834076238741,2,5,11.0,11.0,8.0,6.0,19.0,26.0,5.0,3.0,1.0,2.0,0.0,0.0,0.333,0.333,0.611111111111,0.2,0.188888888889
58,2006,7,54,6,2, Stuttgart, Leverkusen,3.0,1.0,3.0,1.0,0.681818181818,0.3,0.575787082116,0.619469026549,2,11,24.0,4.0,16.0,2.0,19.0,14.0,5.0,3.0,0.0,2.0,0.0,1.0,0.556,0.444,0.755555555556,0.0,0.244444444444
59,2006,7,59,7,13, Hannover, Ein Frankfurt,0.0,1.0,1.0,1.0,0.4,0.418181818182,0.63244047619,0.694306122449,4,5,14.0,8.0,8.0,3.0,19.0,21.0,7.0,6.0,0.0,1.0,0.0,0.0,0.556,0.556,0.0,0.0,1.0
60,2006,7,62,9,16, Nurnberg, Bielefeld,0.0,0.0,1.0,1.0,0.545454545454,0.50909090909,0.728454172367,0.846553191489,4,8,23.0,7.0,11.0,6.0,7.0,11.0,11.0,3.0,2.0,1.0,0.0,0.0,0.333,0.667,0.0,0.0,1.0
61,2006,7,60,11,12, Cottbus, Dortmund,-1.0,0.0,2.0,1.0,0.40909090909,0.536363636364,0.502278209595,0.877461024499,5,5,18.0,9.0,8.0,7.0,32.0,19.0,7.0,2.0,5.0,3.0,0.0,0.0,0.444,0.444,0.377777777778,0.0,0.622222222222
62,2006,7,61,17,15, Bochum, Werder Bremen,-6.0,-1.0,0.0,0.0,0.20909090909,0.70909090909,0.353383458647,1.0,11,3,12.0,27.0,4.0,16.0,17.0,20.0,3.0,6.0,2.0,1.0,0.0,0.0,0.444,0.444,0.922222222222,0.0,0.0777777777778
63,2006,8,71,2,1, Leverkusen, Hamburg,-1.0,1.0,1.0,1.0,0.427272727272,0.454545454546,0.65625,1.0,8,6,13.0,14.0,2.0,9.0,16.0,21.0,8.0,4.0,1.0,1.0,0.0,0.0,0.444,0.222,0.0444444444444,0.333333333333,0.622222222222
64,2006,8,66,5,7, Schalke 04, Hannover,1.0,2.0,2.0,2.0,0.545454545454,0.436363636364,0.819444444444,0.992664519697,2,4,8.0,4.0,4.0,2.0,24.0,26.0,3.0,2.0,3.0,4.0,0.0,0.0,0.667,0.333,0.8,0.0,0.2
65,2006,8,67,8,6, Wolfsburg, Stuttgart,0.0,0.0,1.0,1.0,0.481818181818,0.49090909091,0.55625,0.7309,10,6,13.0,11.0,7.0,5.0,12.0,16.0,4.0,11.0,1.0,0.0,0.0,0.0,0.333,0.556,0.0,0.0,1.0
66,2006,8,64,10,11, Aachen, Cottbus,-1.0,1.0,1.0,1.0,0.472727272728,0.518181818182,0.697963238947,0.933004694836,5,5,16.0,15.0,12.0,6.0,23.0,22.0,6.0,0.0,2.0,3.0,0.0,0.0,0.667,0.111,0.166666666667,0.544444444444,0.288888888889
67,2006,8,65,12,17, Dortmund, Bochum,0.0,0.0,1.0,1.0,0.363636363636,0.59090909091,0.819444444444,0.927160493827,9,5,18.0,16.0,7.0,6.0,8.0,19.0,4.0,1.0,1.0,1.0,0.0,0.0,0.444,0.333,0.0,0.0,1.0
68,2006,8,69,13,9, Ein Frankfurt, Nurnberg,0.0,0.0,2.0,1.0,0.463636363636,0.49090909091,0.588628762542,0.976699029126,4,7,17.0,11.0,8.0,7.0,15.0,18.0,5.0,1.0,0.0,3.0,0.0,0.0,0.333,0.333,0.0,0.0,1.0
69,2006,8,68,14,4, Hertha, M'gladbach,1.0,0.0,2.0,0.0,0.518181818182,0.40909090909,0.724252491694,0.587496631636,4,5,18.0,7.0,13.0,4.0,16.0,21.0,5.0,2.0,0.0,1.0,0.0,0.0,0.222,0.667,0.333333333333,0.0,0.666666666667
70,2006,8,70,15,0, Werder Bremen, Bayern Munich,2.0,1.0,3.0,2.0,0.672727272728,0.345454545454,0.572916666667,1.0,5,7,15.0,13.0,8.0,7.0,14.0,23.0,7.0,4.0,1.0,2.0,0.0,0.0,0.778,0.667,0.877777777778,0.0,0.122222222222
71,2006,8,63,16,3, Bielefeld, Mainz,1.0,0.0,1.0,0.0,0.518181818182,0.381818181818,0.651515151515,0.724032931093,3,9,16.0,14.0,5.0,6.0,10.0,20.0,3.0,2.0,2.0,3.0,0.0,0.0,0.444,0.222,0.188888888889,0.0,0.811111111111
72,2006,9,75,0,13, Bayern Munich, Ein Frankfurt,2.0,2.0,2.0,2.0,0.581818181818,0.345454545454,0.88125,1.0,6,9,19.0,12.0,12.0,8.0,15.0,13.0,5.0,3.0,0.0,0.0,0.0,1.0,0.333,0.333,0.733333333333,0.0,0.266666666667
73,2006,9,74,1,7, Hamburg, Hannover,0.0,0.0,0.0,0.0,0.418181818182,0.427272727272,0.741298527443,1.0,4,6,19.0,12.0,11.0,4.0,25.0,14.0,7.0,4.0,1.0,0.0,0.0,0.0,0.444,0.222,0.0,0.0,1.0
74,2006,9,77,3,15, Mainz, Werder Bremen,-5.0,-3.0,1.0,0.0,0.20909090909,0.8,0.320707070707,1.0,14,6,15.0,16.0,9.0,12.0,21.0,19.0,4.0,3.0,1.0,0.0,0.0,0.0,0.111,1.0,0.844444444444,0.0,0.155555555556
75,2006,9,76,4,2, M'gladbach, Leverkusen,-2.0,-1.0,0.0,0.0,0.281818181818,0.59090909091,0.600694444444,0.947287624614,7,2,14.0,12.0,8.0,8.0,12.0,19.0,10.0,7.0,0.0,1.0,0.0,0.0,0.333,0.333,0.866666666667,0.0,0.133333333333
76,2006,9,73,6,5, Stuttgart, Schalke 04,3.0,1.0,3.0,1.0,0.654545454546,0.372727272728,0.572916666667,0.938053097345,7,10,18.0,16.0,10.0,9.0,24.0,11.0,6.0,7.0,2.0,5.0,0.0,0.0,0.556,0.667,0.644444444444,0.0,0.355555555556
77,2006,9,80,9,12, Nurnberg, Dortmund,0.0,0.0,1.0,0.0,0.50909090909,0.536363636364,0.572916666667,0.983595744681,7,7,14.0,10.0,9.0,5.0,18.0,23.0,4.0,7.0,1.0,1.0,0.0,0.0,0.333,0.556,0.0,0.0,1.0
78,2006,9,78,11,14, Cottbus, Hertha,2.0,0.0,2.0,0.0,0.527272727272,0.327272727272,0.501077586207,0.780623608018,4,7,19.0,11.0,7.0,4.0,22.0,21.0,6.0,1.0,2.0,4.0,0.0,1.0,0.333,0.444,0.266666666667,0.0,0.733333333333
79,2006,9,72,16,10, Bielefeld, Aachen,4.0,2.0,5.0,2.0,0.663636363636,0.354545454546,0.627705627706,0.884853952859,3,9,19.0,9.0,13.0,3.0,7.0,17.0,4.0,3.0,0.0,3.0,0.0,0.0,0.778,0.667,0.877777777778,0.0,0.122222222222
80,2006,9,79,17,8, Bochum, Wolfsburg,-1.0,-1.0,0.0,0.0,0.318181818182,0.427272727272,0.600694444444,0.595314096016,7,9,20.0,17.0,13.0,8.0,14.0,19.0,12.0,3.0,2.0,2.0,1.0,0.0,0.111,0.444,0.722222222222,0.0,0.277777777778
81,2006,10,89,2,3, Leverkusen, Mainz,0.0,0.0,1.0,1.0,0.463636363636,0.5,0.8,1.0,3,8,20.0,4.0,10.0,3.0,19.0,24.0,10.0,2.0,3.0,3.0,0.0,1.0,0.333,0.0,0.0,0.0,1.0
82,2006,10,83,5,0, Schalke 04, Bayern Munich,0.0,1.0,2.0,2.0,0.463636363636,0.436363636364,0.540865384615,1.0,3,5,21.0,10.0,12.0,5.0,18.0,21.0,4.0,3.0,1.0,3.0,0.0,0.0,0.667,0.667,0.0,0.0,1.0
83,2006,10,88,7,17, Hannover, Bochum,-2.0,-1.0,0.0,0.0,0.227272727272,0.481818181818,0.702614379085,0.613102040816,7,1,8.0,8.0,4.0,5.0,15.0,18.0,6.0,2.0,2.0,2.0,0.0,0.0,0.222,0.111,0.955555555556,0.0,0.0444444444444
84,2006,10,84,8,1, Wolfsburg, Hamburg,1.0,1.0,1.0,1.0,0.481818181818,0.336363636364,0.538461538462,0.8541,5,6,11.0,18.0,5.0,12.0,20.0,20.0,5.0,6.0,2.0,1.0,0.0,0.0,0.444,0.444,0.788888888889,0.0,0.211111111111
85,2006,10,81,10,6, Aachen, Stuttgart,-2.0,-1.0,2.0,1.0,0.30909090909,0.654545454546,0.502278209595,0.953051643192,9,5,15.0,16.0,7.0,9.0,22.0,25.0,3.0,6.0,1.0,3.0,0.0,0.0,0.333,0.778,0.733333333333,0.0,0.266666666667
86,2006,10,82,12,16, Dortmund, Bielefeld,0.0,0.0,1.0,0.0,0.463636363636,0.5,0.741298527443,0.917283950617,4,4,16.0,7.0,11.0,5.0,16.0,20.0,10.0,3.0,1.0,2.0,0.0,1.0,0.556,0.778,0.0,0.0,1.0
87,2006,10,86,13,4, Ein Frankfurt, M'gladbach,1.0,0.0,1.0,0.0,0.4,0.336363636364,0.630036630037,0.971844660194,0,7,19.0,5.0,12.0,2.0,21.0,27.0,7.0,4.0,2.0,1.0,0.0,1.0,0.222,0.333,0.133333333333,0.0,0.866666666667
88,2006,10,85,14,9, Hertha, Nurnberg,1.0,1.0,2.0,1.0,0.572727272728,0.463636363636,0.68016194332,0.554594448936,4,4,6.0,16.0,6.0,10.0,16.0,17.0,7.0,6.0,1.0,0.0,0.0,0.0,0.333,0.333,0.477777777778,0.0,0.522222222222
89,2006,10,87,15,11, Werder Bremen, Cottbus,0.0,0.0,1.0,0.0,0.472727272728,0.527272727272,0.9,0.922870588235,2,8,14.0,10.0,9.0,6.0,20.0,28.0,9.0,7.0,2.0,5.0,0.0,0.0,1.0,0.667,0.0,0.0,1.0
90,2006,11,92,0,7, Bayern Munich, Hannover,-1.0,-1.0,0.0,0.0,0.254545454546,0.563636363636,0.916666666667,0.985507246377,1,3,15.0,6.0,6.0,2.0,24.0,12.0,12.0,4.0,2.0,0.0,0.0,0.0,0.444,0.111,0.522222222222,0.0,0.477777777778
91,2006,11,95,3,8, Mainz, Wolfsburg,-1.0,0.0,1.0,1.0,0.345454545454,0.463636363636,0.588628762542,0.960591133005,3,3,9.0,5.0,8.0,4.0,20.0,19.0,8.0,1.0,2.0,1.0,0.0,0.0,0.111,0.778,0.1,0.0,0.9
92,2006,11,93,4,5, M'gladbach, Schalke 04,-2.0,-2.0,0.0,0.0,0.20909090909,0.59090909091,0.524216524217,0.962102576433,9,1,16.0,17.0,4.0,6.0,24.0,25.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.444,0.877777777778,0.0,0.122222222222
93,2006,11,91,6,1, Stuttgart, Hamburg,2.0,0.0,2.0,0.0,0.536363636364,0.454545454546,0.702614379085,0.654867256637,4,6,13.0,18.0,7.0,8.0,26.0,15.0,6.0,4.0,1.0,2.0,0.0,0.0,0.778,0.444,0.111111111111,0.0,0.888888888889
